loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
25,0,0,1,0,0,0,0.000151600652647843,1,0,1,1,927,927,927,927,1,0,n,"wicket/src/main/java/wicket/markup/DefaultMarkupCacheKeyProvider.java"
20,7,3,2,0,0,0,0.000250418122189732,2,0,2,0.5,844,422,722,121,1,1,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/panel/Panel.java"
103,20,8,4,0,0,0,0.000449354904494055,4,0,4,0.25,846,211,610,9,1,1,n,"jdk-1.5/wicket-jmx/src/main/java/org/apache/wicket/jmx/Initializer.java"
39,9,7,3,0,0,0,0.000618909585660129,2,0,2,0.666666666666667,1024,341,996,0,0,0,n,"wicket-jmx/src/main/java/wicket/jmx/RequestLogger.java"
11,0,0,1,0,0,0,0.00121961319609123,1,0,1,1,1254,1254,1254,1254,0,0,n,"wicket/src/java/wicket/ajax/markup/html/navigation/paging/AjaxPagingNavigationIncrementLink.java"
259,88,31,10,2,1,0,9.72221527598888e-05,3,0,3,0.5,448,44,165,0,10,1,n,"wicket/src/main/java/org/apache/wicket/Localizer.java"
93,0,0,1,0,0,0,0.000988945978975033,1,0,1,1,1296,1296,1296,1296,0,0,n,"wicket/src/java/wicket/util/io/ByteArrayOutputStream.java"
1,0,0,1,0,0,0,9.72872022355799e-05,1,0,1,1,1234,1234,1234,1234,0,0,n,"wicket/src/java/wicket/settings/IFrameworkSettings.java"
63,21,10,2,1,1,0,0.000100064290213367,2,0,2,0.5,453,226,293,160,2,0,n,"wicket/src/main/java/org/apache/wicket/util/resource/locator/ResourceStreamLocator.java"
38,0,0,1,0,0,0,0.000300844743102923,1,0,1,1,1024,1024,1024,1024,0,0,n,"wicket-jmx/src/main/java/wicket/jmx/Application.java"
67,27,38,8,2,1,0,0.00112456974520368,3,0,3,0.375,974,121,897,0,13,0,n,"wicket/src/main/java/wicket/protocol/http/servlet/ServletWebRequest.java"
350,135,83,8,2,2,0,0.000144348845348545,3,2,1,0.75,446,55,208,0,8,0,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java"
7,2,2,2,0,0,0,0.000459825834740116,1,0,1,1,845,422,480,365,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/ajax/prototype/PrototypeApplication.java"
1,0,0,1,0,0,0,0.000100064290213367,1,0,1,1,453,453,453,453,0,0,n,"wicket/src/main/java/org/apache/wicket/util/file/IResourceFinder.java"
0,2,2,2,0,0,0,0.000168925673934124,1,0,1,1,777,388,777,0,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/authorization/pages/AdminAnnotationsInternalPage.java"
22,17,2,2,0,0,0,0.000146470977836037,1,0,1,1,902,451,902,0,4,0,n,"wicket/src/main/java/wicket/util/io/IObjectStreamFactory.java"
24,0,0,1,0,0,0,0.000327329709210828,1,0,1,1,845,845,845,845,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/ajax/builtin/EditableLabelPage.java"
10,1,1,2,0,0,0,0.000425230694349326,2,0,2,0.5,845,422,778,67,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/customresourceloading/PageWithCustomLoading.java"
