loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
96,0,0,1,0,0,0,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,n,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/GroupChat.java"
217,1,5,2,0,0,0,0.000228446127109911,1,0,1,1,104,52,104,0,2,1,n,"providers/bundles/org.eclipse.ecf.provider.jmdns/jmdns/javax/jmdns/impl/DNSOutgoing.java"
15,9,2,3,0,0,0,0.00159708253641724,1,0,1,1,886,295,884,0,0,0,n,"framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/im/TypingMessage.java"
230,234,131,62,3,1,1,0.0510509197901726,3,2,1,0.935483870967742,1642,26,421,0,62,10,y,"framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/internal/core/ECFPlugin.java"
8,0,0,1,0,0,0,0.00107015317271432,1,0,1,1,1581,1581,1581,1581,0,0,n,"examples/bundles/org.eclipse.ecf.sdo/src/org/eclipse/ecf/sdo/WaitablePublicationCallback.java"
22,0,0,1,0,0,0,0.000286375068349804,1,0,1,1,237,237,237,237,1,1,n,"protocols/bundles/ch.ethz.iks.slp/src/main/java/ch/ethz/iks/slp/impl/Activator.java"
11,15,4,2,0,0,0,0.000158050730728145,1,0,1,1,16,8,16,0,0,0,n,"examples/bundles/org.eclipse.ecf.example.twitter.client/src/org/eclipse/ecf/twitter/client/Activator.java"
24,0,0,1,0,0,0,0.000350439819630154,1,0,1,1,775,775,775,775,1,1,n,"protocols/bundles/org.eclipse.ecf.protocol.msn/src/org/eclipse/ecf/protocol/msn/Status.java"
42,12,6,3,0,0,0,0.000749837016289361,2,0,2,0.666666666666667,417,139,223,57,3,1,n,"protocols/bundles/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/messages/TimeOffsetMessage.java"
6,0,0,1,0,0,0,0.000117962419046508,1,0,1,1,35,35,35,35,0,0,n,"providers/bundles/org.eclipse.ecf.provider.datashare.nio/src/org/eclipse/ecf/provider/datashare/nio/ChannelData.java"
24,1,0,2,0,0,0,0.00079985230161873,1,0,1,1,1178,589,1178,0,0,0,n,"doc/bundles/org.eclipse.ecf.tutorial/src/org/eclipse/ecf/tutorial/scribbleshare/toolbox/DrawSettings.java"
15,0,0,1,0,0,0,0.000350439819630154,1,0,1,1,775,775,775,775,1,1,n,"protocols/bundles/org.eclipse.ecf.protocol.msn/src/org/eclipse/ecf/protocol/msn/internal/encode/ResponseCommand.java"
19,0,0,1,0,0,1,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,y,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/GroupChatInvitation.java"
65,0,0,1,0,0,1,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,y,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/packet/IQ.java"
35,22,12,7,1,1,0,0.00204516518251696,1,0,1,1,851,121,302,20,7,2,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer/src/org/eclipse/ecf/provider/filetransfer/identity/FileTransferNamespace.java"
3,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/identity/GuestID.java"
13,0,0,1,0,0,0,5.74947465026441e-05,1,0,1,1,181,181,181,181,1,0,n,"protocols/bundles/ch.ethz.iks.slp/src/main/java/ch/ethz/iks/slp/impl/attr/gen/Rule.java"
9,8,9,8,0,0,0,0.0034428009129046,1,0,1,1,988,123,596,0,7,4,n,"providers/bundles/org.eclipse.ecf.provider.remoteservice/src/org/eclipse/ecf/provider/remoteservice/generic/RemoteServiceContainerAdapterFactory.java"
3,0,1,2,0,0,0,0.000467571201626184,1,0,1,1,961,480,960,1,1,0,n,"framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/core/security/UnsupportedCallbackException.java"
40,27,21,8,0,0,0,0.00140172924817457,2,0,2,0.625,561,70,208,0,4,2,n,"framework/bundles/org.eclipse.ecf.docshare/src/org/eclipse/ecf/docshare/menu/DocShareRosterMenuHandler.java"
1,0,0,1,0,0,0,0.000972377711127514,1,0,1,1,1146,1146,1146,1146,0,0,n,"framework/bundles/org.eclipse.ecf.datashare/src/org/eclipse/ecf/datashare/mergeable/IItemHistory.java"
11,2,4,2,0,0,0,0.000949995747495449,1,0,1,1,826,413,810,15,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/PHPBBPlugin.java"
154,87,50,8,0,0,0,0.00332379891380054,1,0,1,1,951,118,543,0,7,3,n,"framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/internal/core/sharedobject/Activator.java"
0,36,0,6,0,0,0,0.00146729684063717,2,1,1,0.833333333333333,840,140,413,6,6,3,n,"providers/bundles/org.eclipse.ecf.provider.xmpp/src/org/eclipse/ecf/internal/provider/xmpp/Messages.java"
8,6,0,3,0,0,0,0.00992136408073836,1,0,1,1,1616,538,1491,1,2,2,n,"framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/comm/tcp/ConnectResultMessage.java"
12,0,0,1,0,0,0,0.000342423947440234,1,0,1,1,172,172,172,172,1,1,n,"framework/bundles/org.eclipse.ecf.discovery.ui.model/src/org/eclipse/ecf/discovery/ui/model/IServiceInfo.java"
41,12,9,3,0,0,0,0.000749837016289361,2,0,2,0.666666666666667,417,139,223,57,3,1,n,"protocols/bundles/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/impl/RemoteServiceRegistration.java"
1,0,0,1,0,0,0,0.000184516469999215,1,0,1,1,763,763,763,763,1,1,n,"framework/bundles/org.eclipse.ecf.presence.ui/src/org/eclipse/ecf/presence/ui/chatroom/IChatRoomCommandListener.java"
11,0,0,1,0,0,0,8.04910321644629e-05,1,0,1,1,580,580,580,580,1,1,n,"framework/bundles/org.eclipse.ecf.presence.ui/src/org/eclipse/ecf/presence/ui/menu/AbstractRosterMenuHandler.java"
3,0,0,1,0,0,0,0.000211246283587961,1,0,1,1,105,105,105,105,1,1,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer.httpclient/src/org/eclipse/ecf/internal/provider/filetransfer/httpclient/ISocketConnectionCallback.java"
61,0,0,1,0,0,1,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,y,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/packet/IBBExtensions.java"
77,54,54,18,0,0,0,0.015016664528764,2,0,2,0.555555555555556,1583,87,748,0,4,4,n,"examples/bundles/org.eclipse.ecf.example.sdo.editor/src/org/eclipse/ecf/example/sdo/editor/EditorPlugin.java"
23,0,0,1,0,0,0,0.00039057307642672,1,0,1,1,882,882,882,882,0,0,n,"examples/bundles/org.eclipse.ecf.example.clients/src/org/eclipse/ecf/example/clients/XMPPClientUI.java"
44,9,3,2,0,0,0,0.000329584828489869,1,0,1,1,41,20,32,9,2,1,n,"compendium/bundles/org.eclipse.ecf.osgi.services.distribution/src/org/eclipse/ecf/osgi/services/distribution/AbstractContainerFinder.java"
26,0,3,2,0,0,0,0.000228446127109911,1,0,1,1,104,52,104,0,2,1,n,"providers/bundles/org.eclipse.ecf.provider.jmdns/jmdns/javax/jmdns/impl/tasks/RecordReaper.java"
3,0,0,1,0,0,0,0.000154595256206829,1,0,1,1,1034,1034,1034,1034,1,1,n,"framework/bundles/org.eclipse.ecf.remoteservice/src/org/eclipse/ecf/remoteservice/events/IRemoteCallCompleteEvent.java"
62,4,3,2,0,0,0,0.000823444281955159,1,0,1,1,748,374,455,292,2,2,n,"examples/bundles/org.eclipse.ecf.example.collab/src/org/eclipse/ecf/internal/example/collab/start/AccountStart.java"
38,27,28,12,0,0,0,0.0038319152303613,2,1,1,0.916666666666667,951,79,476,0,7,2,n,"framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/AbstractSharedObjectContainerAdapterFactory.java"
0,0,0,1,0,0,0,0.000632057491494183,1,0,1,1,948,948,948,948,0,0,n,"framework/bundles/org.eclipse.ecf.filetransfer/src/org/eclipse/ecf/filetransfer/events/IIncomingFileTransferReceiveDataEvent.java"
6,0,0,1,0,0,0,0.000400926351768055,1,0,1,1,795,795,795,795,0,0,n,"framework/bundles/org.eclipse.ecf.presence.bot/src/org/eclipse/ecf/presence/bot/IIMBotEntry.java"
102,0,0,1,0,0,0,0.000342423947440234,1,0,1,1,172,172,172,172,1,1,n,"framework/bundles/org.eclipse.ecf.discovery.ui.model/src/org/eclipse/ecf/discovery/ui/model/impl/ModelFactoryImpl.java"
139,7,6,3,0,0,0,0.00121900251298838,1,0,1,1,748,249,455,0,3,3,n,"examples/bundles/org.eclipse.ecf.example.collab/src/org/eclipse/ecf/internal/example/collab/start/URLListFieldEditor.java"
13,4,4,2,0,0,0,0.000227928280609136,1,0,1,1,428,214,426,1,0,0,n,"providers/bundles/org.eclipse.ecf.provider.irc.ui/src/org/eclipse/ecf/internal/irc/ui/hyperlink/IRCChannelHyperlink.java"
0,7,0,3,0,0,0,0.000661309095510699,1,0,1,1,944,314,867,0,2,1,n,"framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/internal/provider/ECFProviderDebugOptions.java"
11,0,0,1,0,0,0,0.00066765711085319,1,0,1,1,887,887,887,887,1,0,n,"providers/bundles/org.eclipse.ecf.provider.xmpp/src/org/eclipse/ecf/internal/provider/xmpp/events/ChatMembershipEvent.java"
374,39,39,4,0,0,0,7.03019203276945e-05,1,0,1,1,183,45,161,0,0,0,n,"framework/bundles/org.eclipse.ecf.remoteservice/src/org/eclipse/ecf/remoteservice/util/tracker/RemoteServiceTracker.java"
36,33,43,10,0,0,0,0.00234687978007441,1,0,1,1,851,85,377,0,5,1,n,"framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/core/BaseContainer.java"
24,1,2,2,1,1,0,0.000434235332334911,1,0,1,1,527,263,504,22,2,1,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer.efs/src/org/eclipse/ecf/internal/provider/filetransfer/efs/EFSFileAttributes.java"
9,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.vbulletin/src/org/eclipse/ecf/internal/provider/vbulletin/VBFactory.java"
14,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.bulletinboard.commons/src/org/eclipse/ecf/internal/bulletinboard/commons/parsing/BasePatternDescriptor.java"
1,1,1,2,0,0,0,0.000958568836714302,2,0,2,0.5,1027,513,951,76,0,0,n,"examples/bundles/org.eclipse.ecf.example.pubsub/src/org/eclipse/ecf/pubsub/ISubscribedService.java"
24,9,9,2,0,0,0,0.00055834224044741,2,0,2,0.5,796,398,791,4,0,0,n,"framework/bundles/org.eclipse.ecf.presence.bot/src/org/eclipse/ecf/internal/presence/bot/ChatRoomBotEntry.java"
15,15,12,18,0,0,0,0.0262043648906806,1,0,1,1,1616,89,624,0,15,7,n,"framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/generic/TCPClientSOContainer.java"
17,36,23,14,4,3,0,0.00165644363531867,2,1,1,0.928571428571429,495,35,115,0,14,3,n,"providers/bundles/org.eclipse.ecf.provider.jslp/src/org/eclipse/ecf/provider/jslp/identity/JSLPServiceTypeID.java"
22,21,11,5,0,0,0,0.00101272707592596,2,0,2,0.6,561,112,210,0,3,1,n,"framework/bundles/org.eclipse.ecf.docshare/src/org/eclipse/ecf/docshare/messages/Message.java"
7,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/identity/ForumID.java"
0,0,0,1,0,0,0,0.000422129477040935,1,0,1,1,762,762,762,762,0,0,n,"framework/bundles/org.eclipse.ecf.ui/src/org/eclipse/ecf/ui/dialogs/IDCreateErrorDialog.java"
4,3,3,2,0,0,0,0.00394729018006431,1,0,1,1,1583,791,1583,0,0,0,n,"examples/bundles/org.eclipse.ecf.sdo/src/org/eclipse/ecf/sdo/IUpdateProvider.java"
6,0,0,1,0,0,0,0.000342423947440234,1,0,1,1,172,172,172,172,1,1,n,"framework/bundles/org.eclipse.ecf.discovery.ui.model/src/org/eclipse/ecf/discovery/ui/model/ModelFactory.java"
97,30,9,7,0,0,0,0.00148686165559255,2,0,2,0.714285714285714,826,118,425,7,2,1,n,"providers/bundles/org.eclipse.ecf.provider.bittorrent/src/org/eclipse/ecf/internal/provider/bittorrent/TorrentFileTransfer.java"
84,0,0,1,0,0,0,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,n,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/ConnectionConfiguration.java"
3,2,2,2,0,0,0,0.000481613967129327,1,0,1,1,679,339,677,2,0,0,n,"providers/bundles/org.eclipse.ecf.provider.irc.ui/src/org/eclipse/ecf/internal/irc/ui/actions/WhoisAction.java"
3,24,0,3,0,0,0,0.00112084998172262,1,0,1,1,948,316,467,185,0,0,n,"framework/bundles/org.eclipse.ecf.filetransfer/src/org/eclipse/ecf/filetransfer/IncomingFileTransferException.java"
26,0,0,1,0,0,0,0.000203932516785739,1,0,1,1,104,104,104,104,1,0,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer/src/org/eclipse/ecf/provider/filetransfer/events/socket/AbstractSocketEvent.java"
0,0,0,1,0,0,0,0.000632057491494183,1,0,1,1,948,948,948,948,0,0,n,"framework/bundles/org.eclipse.ecf.filetransfer/src/org/eclipse/ecf/filetransfer/events/IFileTransferEvent.java"
23,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.vbulletin/src/org/eclipse/ecf/internal/provider/vbulletin/ThreadFactory.java"
59,23,4,4,3,2,0,0.000396521916713784,1,0,1,1,426,106,154,43,4,0,n,"framework/bundles/org.eclipse.ecf.ssl/src/org/eclipse/ecf/internal/ssl/ECFSSLSocketFactory.java"
56,37,40,19,0,0,0,0.0196819633164184,2,1,1,0.947368421052632,1616,85,620,0,15,4,n,"framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/generic/TCPServerSOContainerGroup.java"
14,4,1,2,0,0,0,0.00041332964757551,1,0,1,1,504,252,368,136,2,2,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer/src/org/eclipse/ecf/provider/filetransfer/browse/LocalFileSystemBrowser.java"
7,0,0,1,0,0,0,0.000209058658398787,1,0,1,1,783,783,783,783,0,0,n,"providers/bundles/org.eclipse.ecf.provider.bittorrent/src/org/eclipse/ecf/internal/provider/bittorrent/BitTorrentRetrieveFileTransferFactory.java"
321,0,0,1,0,0,1,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,y,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/filetransfer/Socks5TransferNegotiator.java"
28,18,3,4,0,0,0,0.000701244341502498,2,0,2,0.75,417,104,315,14,2,1,n,"providers/bundles/org.eclipse.ecf.provider.r_osgi/src/org/eclipse/ecf/internal/provider/r_osgi/R_OSGiContainerInstantiator.java"
7,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.vbulletin/src/org/eclipse/ecf/internal/provider/vbulletin/identity/MemberID.java"
17,8,0,2,0,0,0,0.000133454309126242,2,0,2,0.5,75,37,62,13,0,0,n,"doc/tutorials/EclipseCON 2009/org.eclipse.ecf.tutorial.osgi.services.discovery/src/org/eclipse/ecf/internal/osgi/services/discovery/DiscoveredServiceNotificationImpl.java"
11,0,0,1,0,0,0,0.000192752721901926,1,0,1,1,99,99,99,99,1,0,n,"providers/bundles/org.eclipse.ecf.provider.remoteservice/src/org/eclipse/ecf/provider/remoteservice/generic/RemoteServiceNamespace.java"
1,0,0,1,0,0,0,0.000344195349359843,1,0,1,1,943,943,943,943,1,0,n,"framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/ISharedObjectContainerClient.java"
23,0,0,1,0,0,0,0.00521933270551572,1,0,1,1,1616,1616,1616,1616,1,1,n,"framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/generic/SOContainerGroup.java"
23,0,0,1,0,0,0,0.000137121247024389,1,0,1,1,679,679,679,679,0,0,n,"providers/bundles/org.eclipse.ecf.provider.xmpp/src/org/eclipse/ecf/internal/provider/xmpp/XMPPRemoteServiceAdapterFactory.java"
0,0,0,1,0,0,0,0.00061384418485793,1,0,1,1,925,925,925,925,1,1,n,"framework/bundles/org.eclipse.ecf.ui/src/org/eclipse/ecf/internal/ui/UIDebugOptions.java"
66,20,6,4,0,0,0,0.000778647437504755,1,0,1,1,528,132,438,0,1,1,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer.efs/src/org/eclipse/ecf/internal/provider/filetransfer/efs/RetrieveFileTransfer.java"
3,1,38,4,1,1,0,0.000740884634173856,1,0,1,1,527,131,502,0,4,1,n,"providers/bundles/org.eclipse.ecf.provider.filetransfer.efs/src/org/eclipse/ecf/internal/provider/filetransfer/efs/EFSRemoteFileSystemBrowseFactory.java"
17,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.vbulletin/src/org/eclipse/ecf/internal/provider/vbulletin/internal/ForumFactory.java"
1,0,0,1,0,0,0,0.000251300997567627,1,0,1,1,137,137,137,137,1,0,n,"protocols/bundles/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/impl/AsyncCallback.java"
15,0,0,1,0,0,0,0.000238474459099572,1,0,1,1,126,126,126,126,0,0,n,"framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/search/Restriction.java"
23,0,0,1,0,0,1,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,y,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/packet/XMPPError.java"
0,0,0,1,0,0,0,0.000246653553297873,1,0,1,1,162,162,162,162,1,1,n,"framework/bundles/org.eclipse.team.ecf.core/src/org/eclipse/team/internal/ecf/core/messages/FetchVariantsRequest.java"
105,0,0,1,0,0,0,0.000342423947440234,1,0,1,1,172,172,172,172,0,0,n,"framework/bundles/org.eclipse.ecf.discovery.ui.properties.tabbed/src/org/eclipse/ecf/internal/discovery/ui/ServicePropertySection.java"
2,0,0,3,0,0,0,0.00198767467813592,1,0,1,1,1248,416,914,36,2,2,n,"framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/core/events/IContainerConnectingEvent.java"
2,1,0,4,0,0,0,0.000900515498392728,2,0,2,0.75,932,233,896,0,0,0,n,"framework/bundles/org.eclipse.ecf.ui/src/org/eclipse/ecf/ui/IConnectWizard.java"
84,69,58,13,4,1,1,0.00167986400250638,2,0,2,0.769230769230769,477,36,206,0,13,0,y,"server-side/examples/bundles/org.eclipse.ecf.examples.remoteservices.server/src/org/eclipse/ecf/internal/examples/remoteservices/server/DiscoverableServer.java"
9,1,1,2,0,0,0,0.000887196303956068,1,0,1,1,951,475,951,0,2,1,n,"framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/SharedObjectMsgEvent.java"
4,0,0,1,0,0,0,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,n,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/MessageEventRequestListener.java"
17,0,0,1,0,0,0,0.000595819286703143,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/CategoryFactory.java"
12,0,0,1,0,0,0,0.00118417667611339,1,0,1,1,1145,1145,1145,1145,1,1,n,"protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/muc/Occupant.java"
3,0,0,1,0,0,0,0.000228446127109911,1,0,1,1,104,104,104,104,1,1,n,"providers/bundles/org.eclipse.ecf.provider.jmdns/jmdns/javax/jmdns/ServiceListener.java"
3,2,2,2,0,0,0,0.000481613967129327,1,0,1,1,679,339,677,2,0,0,n,"providers/bundles/org.eclipse.ecf.provider.irc.ui/src/org/eclipse/ecf/internal/irc/ui/actions/KickAction.java"
55,58,4,10,3,3,1,0.00149192358929596,1,0,1,1,550,55,194,0,10,2,y,"providers/bundles/org.eclipse.ecf.provider.discovery/src/org/eclipse/ecf/internal/provider/discovery/Activator.java"
5,3,5,3,0,0,0,0.0020720420634523,1,0,1,1,951,317,945,2,2,2,n,"framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/ISharedObjectConnector.java"
7,0,0,1,0,0,0,0.000302498346714265,1,0,1,1,775,775,775,775,0,0,n,"framework/bundles/org.eclipse.ecf.telephony.call/src/org/eclipse/ecf/telephony/call/ICallSession.java"
3,2,1,2,0,0,0,0.000349896000579649,1,0,1,1,231,115,223,7,0,0,n,"framework/bundles/org.eclipse.ecf.sync/src/org/eclipse/ecf/sync/IModelSynchronizationStrategy.java"
